GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001285082;8699546385492;10;0
8680001156955;8699546095131;1;0
8680001283583;8699546080274;10;0
8680001421336;8699546755714;2;0
8680001472765;8699546578078;2;0
8680001472765;8699546010011;10;0
8680001555185;8699546099429;5;0
8680001313341;8699546755714;2;0
8680001170203;8699546355174;10;1
8680001555185;8699546095131;1;0
8680001207442;8699546015634;2;0
8680001435166;8699546085767;20;1
8680001435166;8699546010011;5;0
8680001368204;8699546095131;1;0
8680001316168;8699546015597;20;1
8680001569632;8699546578108;2;0
8680001569632;8699546095131;1;0
8680001686537;8699546095131;1;0
8680001328611;8699546705757;2;0
8680001328611;8699546705795;3;0
